"Taxon","Estimated_Spatiotemporal_probability","Number_of_records","Max_probability","Min_probability"
"Alopecurus myosuroides Huds. subsp. myosuroides",98.1,4,85.7,2.2
"Phalaris brachystachys Link",98.1,10,70.3,2.2
"Anisantha sterilis (L.) Nevski",98,3,85.7,2.2
"Athyrium filix-femina (L.) Roth",98,2,85.7,85.7
"Carex hirta L.",98,2,85.7,85.7
"Paspalum distichum L. subsp. distichum",98,5,81.1,2.8
"Poa angustifolia L.",98,2,85.7,85.7
"Silene gallica L.",98,2,85.7,85.7
"Crepis setosa Haller f.",97.9,3,85.7,2.2
"Galium aparine L.",97.9,3,85.7,2.2
"Ornithopus compressus L.",97.9,3,85.7,2.2
"Verbena officinalis L.",97.9,3,85.7,2.2
"Arctium minus (Hill) Bernh.",97.8,2,85.7,84.7
"Ballota nigra L. subsp. nigra",97.8,2,85.7,84.7
"Bidens frondosa L.",97.8,5,86.7,2.2
"Cuscuta epithymum (L.) L. subsp. epithymum",97.8,2,85.7,84.7
"Helosciadium nodiflorum (L.) W.D.J.Koch",97.8,6,66.6,2.2
"Vicia cordata Wulfen ex Hoppe",97.8,2,85.7,84.7
"Centaurium pulchellum (Sw.) Druce subsp. pulchellum",97.7,5,85.7,10.5
"Glechoma hederacea L.",97.7,3,89.9,2.2
"Trifolium pratense L. subsp. pratense",97.7,4,84.7,2.2
"Bellevalia romana (L.) Sweet",97.6,3,85.7,2.2
"Oreoselinum nigrum Delarbre",97.6,4,76.4,23.2
"Geranium robertianum L.",97.5,3,84.8,2.2
"Senecio vulgaris L. subsp. vulgaris",97.5,4,84.7,2.2
"Spergularia media (L.) C.Presl",97.5,3,73.5,65.6
"Anisantha madritensis (L.) Nevski  subsp. madritensis",97.4,3,84.8,2.2
"Molinia caerulea (L.) Moench",97.4,3,85.7,2.2
"Najas minor All.",97.4,4,90.9,2.2
"Potentilla argentea L.",97.4,3,73.5,68.4
"Atriplex prostrata Boucher ex DC.",97.3,4,83.2,22.4
"Carex caryophyllea Latourr.",97.3,2,84.7,82.2
"Cytinus hypocistis (L.) L.",97.3,2,84.7,82.6
"Orobanche minor Sm.",97.3,2,91.3,69.2
"Rhamnus alaternus L. subsp. alaternus",97.3,4,80.3,0.1
"Schoenoplectus tabernaemontani (C.C.Gmel.) Palla",97.3,5,77.2,0.3
"Sporobolus indicus (L.) R.Br.",97.3,2,84.4,82.6
"Carex distachya Desf.",97.1,2,85.7,79.7
"Filago pyramidata L.",97.1,2,85.7,79.7
"Olea europaea L. subsp. europaea",97.1,2,85.7,79.7
"Peplis portula L.",97.1,4,84.7,29.4
"Coleostephus myconis (L.) Cass. ex Rchb.f.",97,4,84.7,2.2
"Festuca fasciculata Forssk.",97,4,81.9,23.2
"Sedum sexangulare L.",97,3,84.8,2.2
"Sagittaria sagittifolia L.",96.9,8,63.4,2.2
"Equisetum ramosissimum Desf. subsp. ramosissimum",96.8,4,80.8,2.3
"Polypogon monspeliensis (L.) Desf.",96.8,5,85.7,2.2
"Sclerochloa dura (L.) P.Beauv.",96.8,3,69.2,66
"Scrophularia canina L.",96.8,2,85.7,77.4
"Trigonella wojciechowskii Coulot & Rabaute",96.8,4,69.2,23.2
"Emerus major Mill. subsp. major",96.7,3,76.4,62
"Galium lucidum All. subsp. lucidum",96.7,3,85.7,25.8
"Parentucellia latifolia (L.) Caruel",96.7,3,85.7,25.8
"Pyracantha coccinea M.Roem.",96.7,4,79.7,2.2
"Agrostis stolonifera L. subsp. maritima (Lam.) Vasc.",96.6,3,85.5,23.2
"Trifolium subterraneum L. subsp. subterraneum",96.5,3,85.7,2.2
"Ulmus glabra Huds.",96.5,2,82.6,79.7
"Utricularia australis R.Br.",96.5,5,74.6,23
"Marsilea quadrifolia L.",96.4,5,77,14
"Ranunculus lingua L.",96.4,2,84.7,76.4
"Rubus praecox Bertol.",96.4,2,85.7,75
"Taraxacum obovatum (Willd.) DC.",96.4,2,83.9,77.4
"Tribulus terrestris L.",96.4,3,84.6,23.2
"Beckmannia eruciformis (L.) Host subsp. eruciformis",96.3,3,69.2,64.8
"Cladanthus mixtus (L.) Chevall.",96.3,4,77.4,23.2
"Agrimonia eupatoria L. subsp. eupatoria",96.2,3,84.7,2.2
"Hedypnois rhagadioloides (L.) F.W.Schmidt",96.2,4,77.8,2.2
"Isoetes gymnocarpa (Gennari) A.Braun",96.2,3,66.6,66.5
"Schoenoplectus pungens (Vahl) Palla",96.2,4,75.2,26.2
"Verbascum blattaria L.",96.2,4,84.7,2.2
"Cynoglossum creticum Mill.",96.1,4,79.7,2.2
"Sparganium neglectum Beeby",96.1,3,84.7,47.5
"Sporobolus virginicus (L.) Kunth",96.1,3,84.6,23.2
"Achillea maritima (L.) Ehrend. & Y.P.Guo subsp. maritima",96,3,84.6,25.8
"Apium graveolens L.",96,5,77,1.2
"Daucus pumilus (L.) Hoffmanns. & Link",96,3,69.2,62.8
"Broussonetia papyrifera (L.) Vent.",95.8,2,85.7,70.7
"Bulbostylis cioniana (Pi.Savi) Lye",95.7,2,87.4,65.7
"Leersia oryzoides (L.) Sw.",95.7,2,87.4,65.8
"Agrostis canina L. subsp. canina",95.6,2,85.7,69.2
"Deschampsia cespitosa (L.) P.Beauv. subsp. cespitosa",95.6,2,85.7,69.2
"Erigeron karvinskianus DC.",95.6,3,79.7,1.6
"Lamium bifidum Cirillo subsp. bifidum",95.6,2,85.7,69.2
"Lapsana communis L. subsp. communis",95.6,2,85.7,69.2
"Lotus hispidus DC.",95.6,4,69.2,10.7
"Parapholis filiformis (Roth) C.E.Hubb.",95.6,3,83.9,23.2
"Scutellaria columnae All. subsp. columnae",95.6,2,85.7,69.2
"Solanum nigrum L.",95.6,5,85.7,17.8
"Cistus monspeliensis L.",95.5,2,79.7,77.8
"Marcus-kochia ramosissima (Desf.) Al-Shehbaz",95.5,2,80.2,77.4
"Oxalis dillenii Jacq.",95.4,2,91.3,47.5
"Rubus sulcatus Vest",95.4,2,84.7,69.7
"Trifolium arvense L. subsp. arvense",95.4,3,79.3,2.2
"Epilobium tetragonum L. subsp. tetragonum",95.3,2,84.7,69.2
"Montia arvensis Wallr.",95.3,2,84.7,69.2
"Osyris alba L.",95.3,2,84.7,69.2
"Veronica chamaedrys L. subsp. chamaedrys",95.3,2,81.2,74.9
"Xanthium strumarium L. subsp. strumarium",95.3,5,77.4,0.5
"Jacobaea erratica (Bertol.) Fourr.",95.2,4,91.3,2.2
"Ruppia maritima L.",95.1,4,60.7,23.2
"Sulla coronaria (L.) Medik.",95.1,2,80,75.7
"Cuscuta cesattiana Bertol.",95,2,77.8,77.4
"Pittosporum tobira (Thunb.) W.T.Aiton",95,2,77.8,77.4
"Ribes rubrum L.",95,2,78.4,76.9
"Romulea columnae Sebast. & Mauri",95,2,83.9,69.2
"Senecio lividus L.",95,2,77.8,77.4
"Myosotis gussonei Jan",94.9,2,84.7,66.8
"Genista germanica L.",94.8,3,62.9,62
"Stachys germanica L. subsp. salviifolia (Ten.) Gams",94.8,3,74,31.8
"Plantago cornutii Gouan",94.5,2,80,72.5
"Butomus umbellatus L.",94.3,3,85.4,31.7
"Juniperus turbinata Guss.",94.3,3,61.6,61.6
"Oenothera chicaginensis de Vries ex Renner & Cleland",94.2,2,82.1,67.5
"Veronica anagallis-aquatica L. subsp. anagallis-aquatica",94.2,4,84.7,2.2
"Ranunculus peltatus Schrank",94,2,77,73.9
"Hydrocotyle ranunculoides L.f.",93.7,2,90.9,31.5
"Potamogeton coloratus Hornem.",93.7,2,77,72.8
"Myriophyllum spicatum L.",93.6,6,60.7,2.2
"Setaria pumila (Poir.) Roem. & Schult.",93.6,4,84,2.2
"Sonchus bulbosus (L.) N.Kilian & Greuter subsp. bulbosus",93.6,4,77.8,3.2
"Imperata cylindrica (L.) Raeusch.",93.5,3,74.4,23.2
"Clinopodium nepeta (L.) Kuntze subsp. spruneri (Boiss.) Bartolucci & F.Conti",93.1,3,77,11.7
"Oenothera italica Rostanski & Soldano",93.1,3,85.8,30.3
"Vicia lathyroides L.",92.9,2,82.6,59.1
"Oenothera stricta Link subsp. stricta",92.8,5,84.6,1.3
"Isolepis cernua (Vahl) Roem. & Schult.",92.7,2,76.4,69.2
"Vicia angustifolia L.",92.7,3,66,47.5
"Cortaderia selloana (Schult. & Schult.f.) Asch. & Graebn.",92.6,2,76.4,68.6
"Kickxia commutata (Bernh. ex Rchb.) Fritsch subsp. commutata",92.6,4,85.7,2.2
"Tragopogon eriospermus Ten.",92.6,2,85.7,47.8
"Tragus racemosus (L.) All.",92.6,3,69.5,23.2
"Ervum tetraspermum L.",92.5,4,66,26.2
"Digitaria debilis (Desf.) Willd.",92.4,3,77,30.6
"Trifolium dubium Sibth.",92.4,2,76.4,67.8
"Capsella bursa-pastoris (L.) Medik. subsp. bursa-pastoris",92.3,3,84.7,26.2
"Spiranthes spiralis (L.) Chevall.",92.3,3,72.7,2.2
"Festuca ligustica (All.) Bertol.",92.2,3,77.4,2.2
"Polygala flavescens DC. subsp. flavescens",92.2,2,72,72
"Spergula arvensis L.",92.2,3,69.2,25.8
"Cicendia filiformis (L.) Delarbre",92,3,69.2,23.2
"Ludwigia palustris (L.) Elliott",92,4,84.7,2.2
"Vicia dasycarpa Ten.",92,3,69.2,23.2
"Najas major All.",91.9,5,67.1,2.2
"Scutellaria hastifolia L.",91.8,2,73.5,69.2
"Myagrum perfoliatum L.",91.4,3,77.8,26.2
"Astragalus sesameus L.",91.3,1,91.3,91.3
"Nymphoides peltata (S.G.Gmel.) Kuntze",91,3,85.7,17.8
"Trifolium vesiculosum Savi",91,5,69.2,2.3
"Ophioglossum lusitanicum L.",90.9,3,70.8,2
"Prunus domestica L.",90.8,1,90.8,90.8
"Succisa pratensis Moench",90.8,3,76.4,25.8
"Oxybasis rubra (L.) S.Fuentes, Uotila & Borsch",90.7,3,75.9,17.8
"Paspalum vaginatum Sw.",90.6,1,90.6,90.6
"Sporobolus pumilus (Roth) P.M.Peterson & Saarela",90.6,1,90.6,90.6
"Cirsium arvense (L.) Scop.",90.5,3,85.7,2.2
"Cirsium vulgare (Savi) Ten. s.l.",90.3,4,64.8,2.2
"Potentilla pedata Willd. ex Hornem.",90.3,2,69.2,68.4
"Asperula cynanchica L. subsp. cynanchica",90.1,3,85.7,9.7
"Euphorbia palustris L.",89.7,2,69.2,66.6
"Trifolium pallidum Waldst. & Kit.",89.7,3,85.7,2.2
"Oenanthe fistulosa L.",89.5,2,69.2,66
"Trifolium striatum L. subsp. striatum",89.5,2,69.2,66
"Oenanthe aquatica (L.) Poir.",89.4,2,84.7,30.6
"Allium vineale L.",89.3,3,85.7,2.2
"Cirsium palustre (L.) Scop.",89.3,3,86.9,0.3
"Elymus repens (L.) Gould subsp. repens",89.3,3,85.7,2.2
"Ranunculus acris L. subsp. acris",89.2,3,76.4,26.2
"Sambucus ebulus L.",89.1,4,83.3,2.2
"Spergularia rubra (L.) J.Presl & C.Presl",88.8,2,67.1,66
"Ficaria verna Huds. subsp. verna",88.7,2,84.7,26.2
"Cenchrus longispinus (Hack.) Fernald",88.6,2,66.9,65.4
"Geranium dissectum L.",88.6,3,77.8,2.2
"Papaver rhoeas L. subsp. rhoeas",88.6,3,77.4,26.2
"Leontodon saxatilis Lam. subsp. saxatilis",88.5,3,84.7,2.2
"Schoenoplectus lacustris (L.) Palla",88.5,2,88.5,0.3
"Hordeum murinum L. subsp. leporinum (Link) Arcang.",88.4,3,82.6,2.2
"Anthemis cotula L.",88.3,2,85.7,17.8
"Cutandia maritima (L.) Benth. ex Barbey",88.3,2,66.8,64.8
"Euphorbia esula L. subsp. esula",88.3,2,85.7,17.8
"Stellaria aquatica (L.) Scop.",88,3,71,2.2
"Equisetum palustre L.",87.9,3,70.8,23.7
"Lathyrus ochrus (L.) DC.",87.7,3,84.7,2.3
"Spergularia marina (L.) Besser",87.6,3,66.8,22.4
"Lolium arundinaceum (Schreb.) Darbysh subsp. arundinaceum",87.4,5,66.6,2.2
"Solenopsis laurentia (L.) C.Presl",87.4,2,66,62.8
"Carex pseudocyperus L.",86.9,1,86.9,86.9
"Lythrum virgatum L.",86.9,1,86.9,86.9
"Medicago turbinata (L.) All.",86.8,4,73.5,2.2
"Briza maxima L.",86.4,3,85.7,2.2
"Asplenium trichomanes L. subsp. trichomanes",86.1,2,85.7,2.3
"Avena barbata Pott ex Link",86.1,2,85.7,2.2
"Brachypodium distachyon (L.) P.Beauv.",86.1,2,85.7,2.2
"Bromus commutatus Schrad. subsp. commutatus",86.1,2,85.7,2.5
"Bromus racemosus L. subsp. racemosus",86.1,2,85.7,2.2
"Cynosurus echinatus L.",86.1,2,85.7,2.2
"Geranium rotundifolium L.",86.1,2,85.7,2.2
"Malva sylvestris L.",86.1,4,75,2.2
"Salvia verbenaca L.",86.1,2,85.7,2.2
"Valerianella eriocarpa Desv.",86.1,2,85.7,2.2
"Setaria verticillata (L.) P.Beauv.",85.9,2,85.5,2.2
"Acorus calamus L.",85.7,1,85.7,85.7
"Aesculus hippocastanum L.",85.7,1,85.7,85.7
"Ailanthus altissima (Mill.) Swingle",85.7,1,85.7,85.7
"Aira cupaniana Guss.",85.7,1,85.7,85.7
"Asparagus officinalis L. subsp. officinalis",85.7,1,85.7,85.7
"Cerastium brachypetalum Desp. ex Pers. subsp. brachypetalum",85.7,1,85.7,85.7
"Leucanthemum pallens (Perreym.) DC.",85.7,1,85.7,85.7
"Lolium giganteum (L.) Darbysh.",85.7,1,85.7,85.7
"Poterium sanguisorba L. subsp. sanguisorba",85.7,1,85.7,85.7
"Reichardia picroides (L.) Roth",85.7,1,85.7,85.7
"Viola arvensis Murray subsp. arvensis",85.7,1,85.7,85.7
"Medicago marina L.",85.5,3,61.2,23.2
"Orobanche hederae Duby",85.4,3,84.7,2.5
"Stachys recta L. subsp. recta",85.4,3,72.1,23.2
"Ulmus laevis Pall.",85.3,1,85.3,85.3
"Crocus biflorus Mill.",85.2,2,69.2,51.9
"Triticum neglectum (Req.ex Bertol.) Greuter",85.1,3,62.8,2.2
"Cota tinctoria (L.) J.Gay subsp. tinctoria",85,2,84.7,2.2
"Lathyrus aphaca L. subsp. aphaca",85,2,84.7,2.2
"Pastinaca sativa L. subsp. sativa",85,2,84.7,2.2
"Umbilicus rupestris (Salisb.) Dandy",85,2,84.7,2.2
"Amaranthus albus L.",84.8,3,72.1,23.2
"Calamagrostis epigejos (L.) Roth subsp. epigejos",84.8,2,62.8,59.1
"Dioscorea communis (L.) Caddick & Wilkin",84.7,1,84.7,84.7
"Fimbristylis squarrosa Vahl",84.7,1,84.7,84.7
"Hypericum perforatum L. subsp. veronense (Schrank) Ces.",84.7,1,84.7,84.7
"Hypericum tetrapterum Fr.",84.7,1,84.7,84.7
"Ranunculus ophioglossifolius Vill.",84.7,1,84.7,84.7
"Teucrium scorodonia L.",84.7,1,84.7,84.7
"Turritis glabra L.",84.7,1,84.7,84.7
"Cyperus capitatus Vand.",84.6,1,84.6,84.6
"Festuca pyramidata Link",84.6,1,84.6,84.6
"Oenothera sinuosa W.L.Wagner & Hoch",84.6,1,84.6,84.6
"Silene canescens Ten.",84.6,1,84.6,84.6
"Silene otites (L.) Wibel",84.6,1,84.6,84.6
"Centaurea nigrescens Willd. subsp. nigrescens",84.5,4,72.1,2.2
"Daphne laureola L.",84.5,1,84.5,84.5
"Oenanthe peucedanifolia Pollich",84.1,2,66,53.2
"Cyperus flavescens L.",84,1,84,84
"Draba verna L. subsp. praecox (Steven) Rouy & Foucaud",83.9,1,83.9,83.9
"Helianthemum nummularium (L.) Mill. subsp. obscurum (Celak.) Holub",83.9,1,83.9,83.9
"Valerianella locusta (L.) Laterr.",83.9,1,83.9,83.9
"Lathyrus pratensis L. subsp. pratensis",83.6,2,83.2,2.2
"Vicia sativa L.",83.6,2,83.2,2.2
"Epipactis microphylla (Ehrh.) Sw.",83.5,2,77.8,25.8
"Gleditsia triacanthos L.",83.5,2,78.2,24.3
"Scolymus hispanicus L. subsp. hispanicus",83.3,3,77.8,2.2
"Potamogeton nodosus Poir.",83.2,5,81.4,2.5
"Ranunculus lanuginosus L.",83.2,1,83.2,83.2
"Trifolium tomentosum L.",83.2,1,83.2,83.2
"Equisetum hyemale L.",83.1,1,83.1,83.1
"Briza minor L.",83,2,82.6,2.2
"Rosa agrestis Savi",83,2,82.6,2.2
"Ecballium elaterium (L.) A.Rich.",82.9,3,77.4,2.2
"Potamogeton crispus L.",82.7,5,47.5,2.2
"Iris germanica L.",82.6,1,82.6,82.6
"Muscari neglectum Guss. ex Ten.",82.6,1,82.6,82.6
"Cephalanthera rubra (L.) Rich.",82.5,2,76.4,25.8
"Taraxacum trilobifolium Hudziok",82.5,1,82.5,82.5
"Odontites luteus (L.) Clairv. subsp. luteus",82.3,3,76.4,2.2
"Seseli tortuosum L. subsp. tortuosum",82.3,3,76.4,2.2
"Carex liparocarpos Gaudin subsp. liparocarpos",82.2,1,82.2,82.2
"Dysphania multifida (L.) Mosyakin & Clemants",81.9,1,81.9,81.9
"Trigonella sulcata (Desf.) Coulot & Rabaute",81.9,3,66.4,12
"Saponaria officinalis L.",81.5,2,75,26.2
"Echinochloa crus-galli (L.) P.Beauv. subsp. crus-galli",81.3,4,46.4,2.2
"Galatella linosyris (L.) Rchb.f. subsp. linosyris",81.2,3,66.7,23.5
"Trifolium angustifolium L. subsp. angustifolium",81.2,3,75,2.2
"Neslia paniculata (L.) Desv. subsp. paniculata",80.5,3,70.3,11.7
"Datura stramonium L.",79.9,3,69.2,14.9
"Hieracium bifidum Kit. ex Hornem.",79.7,1,79.7,79.7
"Soda inermis Fourr.",79.7,2,73.8,22.4
"Trigonella alba (Medik.) Coulot & Rabaute",79.5,3,72.7,2.2
"Sparganium erectum L.",79.1,4,57.8,2.2
"Tetragonia tetragonoides (Pallas) Kuntze",78.4,2,70.7,26.1
"Antirrhinum majus L. subsp. majus",78.3,2,77.8,2.2
"Dysphania ambrosioides (L.) Mosyakin & Clemants",78.3,5,29.1,23.2
"Euphorbia nutans Lag.",78.2,1,78.2,78.2
"Anchusa azurea Mill.",77.9,2,77.4,2.2
"Fumaria muralis W.D.J.Koch subsp. muralis",77.8,1,77.8,77.8
"Glaucium flavum Crantz",77.8,1,77.8,77.8
"Sonchus asper (L.) Hill s.l.",77.8,1,77.8,77.8
"Urospermum picroides (L.) Scop. ex F.W.Schmidt",77.8,1,77.8,77.8
"Anacamptis papilionacea (L.) R.M.Bateman, Pridgeon & M.W.Chase",77.4,1,77.4,77.4
"Parietaria judaica L.",77.4,1,77.4,77.4
"Sabulina mediterranea (Ledeb. ex Link) Rchb.",77.4,1,77.4,77.4
"Salvia rosmarinus Spenn.",77.4,1,77.4,77.4
"Malva arborea (L.) Webb & Berthel.",77.3,2,53.4,51.2
"Vicia hybrida L.",77.3,2,69.2,26.2
"Genista monspessulana (L.) L.Johnson",77.2,2,69.2,25.8
"Cycloloma atriplicifolium (Spreng.) J.M.Coult.",77.1,1,77.1,77.1
"Amaranthus graecizans L. subsp. sylvestris (Vill.) Brenan",77,1,77,77
"Trifolium suffocatum L.",77,1,77,77
"Valeriana officinalis L. subsp. officinalis",77,1,77,77
"Verbascum phoeniceum L.",77,1,77,77
"Vicia narbonensis L. subsp. narbonensis",77,1,77,77
"Galium verum L. subsp. verum",76.9,2,76.4,2.2
"Potentilla inclinata Vill.",76.9,2,69.2,24.9
"Bromus hordeaceus L. subsp. hordeaceus",76.5,3,64.8,2.2
"Polygala nicaeensis W.D.J.Koch subsp. italiana (Chodat) Arrigoni",76.5,2,76.4,0.5
"Corylus avellana L.",76.4,1,76.4,76.4
"Cyperus rotundus L.",76.4,1,76.4,76.4
"Dianthus balbisii Ser. subsp. balbisii",76.4,1,76.4,76.4
"Epipactis helleborine (L.) Crantz",76.4,1,76.4,76.4
"Hieracium sabaudum L.",76.4,1,76.4,76.4
"Hieracium umbellatum L.",76.4,1,76.4,76.4
"Juncus tenuis Willd.",76.4,1,76.4,76.4
"Neottia ovata (L.) Bluff & Fingerh.",76.4,1,76.4,76.4
"Origanum vulgare L. subsp. vulgare",76.4,1,76.4,76.4
"Ostrya carpinifolia Scop.",76.4,1,76.4,76.4
"Prunella laciniata (L.) L.",76.4,1,76.4,76.4
"Solidago virgaurea L. subsp. virgaurea",76.4,1,76.4,76.4
"Danthonia decumbens (L.) DC. subsp. decumbens",76.3,2,69.2,23.2
"Linum strictum L. subsp. strictum",76.3,2,69.2,23.2
"Salicornia fruticosa L.",76.3,2,72.1,14.9
"Salvia clandestina L.",76.3,2,69.2,23.2
"Vicia benghalensis L.",76.3,2,69.2,23.2
"Sporobolus aculeatus (L.) P.M.Peterson",76.1,2,69.2,22.4
"Trisetaria aurea (Ten.) Pignatti",75.7,1,75.7,75.7
"Oxalis stricta L.",75.5,2,75,2.2
"Rubus caesius L.",75.5,2,75,2.2
"Sedum cepaea L.",75.5,2,75,2.2
"Torilis arvensis (Huds.) Link subsp. arvensis",75.5,2,75,2.2
"Legousia speculum-veneris (L.) Chaix",75.3,3,65.8,2.2
"Hieracium murorum L.",74.7,2,69.2,17.8
"Romulea rollii Parl.",74.7,1,74.7,74.7
"Pinus halepensis Mill. subsp. halepensis",74.4,1,74.4,74.4
"Centaurium maritimum (L.) Fritsch",74.2,2,66.4,23.2
"Sedum rubens L.",74.1,2,73.5,2.5
"Jasione montana L.",73.9,2,66,23.2
"Ranunculus saniculifolius Viv.",73.9,1,73.9,73.9
"Odontites vernus (Bellardi) Dumort. subsp. serotinus (Dumort.) Corb.",73.7,2,73.1,2.2
"Callitriche truncata Guss. s.l.",73.5,1,73.5,73.5
"Elatine alsinastrum L.",73.5,1,73.5,73.5
"Exaculum pusillum (Lam.) Caruel",73.5,1,73.5,73.5
"Helosciadium inundatum (L.) W.D.J.Koch",73.5,1,73.5,73.5
"Abutilon theophrasti Medik.",72.9,1,72.9,72.9
"Bidens tripartita L. subsp. tripartita",72.7,2,72.1,2.2
"Crepis bellidifolia Loisel.",72.7,1,72.7,72.7
"Micromeria graeca (L.) Benth. ex Rchb. subsp. graeca",72.7,2,72.1,2.2
"Artemisia caerulescens L. subsp. caerulescens",72.6,2,64.8,22.4
"Puccinellia distans (Jacq.) Parl. subsp. distans",72.6,2,64.8,22.4
"Silybum marianum (L.) Gaertn.",72.6,3,58.9,2.2
"Agrostemma githago L.",72.5,2,69.2,10.6
"Utricularia minor L.",72.5,1,72.5,72.5
"Digitaria ischaemum (Schreb. ex Schweigg.) Schreb. ex Muhl. subsp. ischaemum",72.4,1,72.4,72.4
"Persicaria mitis (Schrank) Assenov",72.4,1,72.4,72.4
"Trigonella altissima (Thuill.) Coulot & Rabaute",72,2,71.8,0.5
"Setaria italica (L.) P.Beauv. subsp. viridis (L.) Thell.",71.7,3,46.4,2.2
"Lomelosia rutifolia (Vahl) Avino & P.Caputo",71.4,2,62.8,23.2
"Stachys maritima Gouan",71.1,1,71.1,71.1
"Arundo donax L.",71,2,46.4,45.9
"Spergula pentandra L.",71,1,71,71
"Vallisneria spiralis L.",71,2,60.7,26.2
"Ophioglossum vulgatum L. subsp. vulgatum",70.8,1,70.8,70.8
"Isolepis setacea (L.) R.Br.",70.3,2,69.2,3.5
"Brachypodium retusum (Pers.) P.Beauv.",70.1,1,70.1,70.1
"Allium pallens L.",69.9,2,69.2,2.2
"Isoetes durieui Bory",69.9,2,67.5,7.5
"Pentanema britannicum (L.) D.Gut.Larr., Santos-Vicente, Anderb., E.Rico & M.M.Mart.Ort.",69.9,2,69.2,2.2
"Gnaphalium uliginosum L.",69.6,2,66,10.5
"Helichrysum luteoalbum (L.) Rchb.",69.3,2,69.2,0.3
"Aira elegantissima Schur subsp. elegantissima",69.2,1,69.2,69.2
"Allium chamaemoly L. subsp. chamaemoly",69.2,1,69.2,69.2
"Allium coloratum Spreng.",69.2,1,69.2,69.2
"Anacyclus radiatus Loisel. subsp. radiatus",69.2,1,69.2,69.2
"Andryala integrifolia L.",69.2,1,69.2,69.2
"Anthriscus sylvestris (L.) Hoffm. subsp. sylvestris",69.2,1,69.2,69.2
"Asphodelus ramosus L. subsp. ramosus",69.2,1,69.2,69.2
"Centaurea aspera L. subsp. aspera",69.2,1,69.2,69.2
"Cytisus villosus Pourr.",69.2,1,69.2,69.2
"Dracunculus vulgaris Schott",69.2,1,69.2,69.2
"Ervilia sylvatica (L.) Schur",69.2,1,69.2,69.2
"Euphorbia maculata L.",69.2,3,67.6,2.5
"Geranium columbinum L.",69.2,1,69.2,69.2
"Hypericum australe Ten.",69.2,1,69.2,69.2
"Inula helenium L. subsp. helenium",69.2,1,69.2,69.2
"Lathyrus palustris L.",69.2,1,69.2,69.2
"Lathyrus sylvestris L. subsp. sylvestris",69.2,1,69.2,69.2
"Linum trigynum L.",69.2,1,69.2,69.2
"Moenchia erecta (L.) G.Gaertn., B.Mey. & Scherb. subsp. erecta",69.2,1,69.2,69.2
"Nepeta cataria L.",69.2,1,69.2,69.2
"Plantago lagopus L.",69.2,1,69.2,69.2
"Prospero autumnale (L.) Speta",69.2,1,69.2,69.2
"Prunus avium L.",69.2,2,62,19.1
"Quercus cerris L.",69.2,1,69.2,69.2
"Quercus suber L.",69.2,1,69.2,69.2
"Romulea bulbocodium (L.) Sebast. & Mauri",69.2,1,69.2,69.2
